"Date","Price","Open","High","Low","Change %"
"Jun 92","1.3447","1.2790","1.3529","1.2660","5.18%"
"Jul 92","1.3828","1.3445","1.4057","1.3370","2.83%"
"Aug 92","1.4410","1.3803","1.4497","1.3703","4.21%"
"Sep 92","1.3860","1.4413","1.4580","1.2652","-3.82%"
"Oct 92","1.2729","1.3855","1.3919","1.2657","-8.16%"
"Nov 92","1.2312","1.2722","1.2730","1.2132","-3.28%"
"Dec 92","1.2047","1.2327","1.2668","1.2029","-2.15%"
"Jan 93","1.2110","1.2040","1.2500","1.1877","0.52%"
"Feb 93","1.1780","1.2110","1.2110","1.1690","-2.73%"
"Mar 93","1.2070","1.1716","1.2070","1.1608","2.46%"
"Apr 93","1.2330","1.2040","1.2485","1.1988","2.15%"
"May 93","1.2241","1.2304","1.2477","1.1934","-0.72%"
"Jun 93","1.1471","1.2278","1.2311","1.1416","-6.29%"
"Jul 93","1.0935","1.1481","1.1640","1.0870","-4.67%"
"Aug 93","1.1380","1.0945","1.1443","1.0817","4.07%"
"Sep 93","1.1618","1.1381","1.1995","1.1360","2.09%"
"Oct 93","1.1330","1.1615","1.1886","1.1302","-2.48%"
"Nov 93","1.1205","1.1326","1.1393","1.1182","-1.10%"
"Dec 93","1.1130","1.1197","1.1428","1.1130","-0.67%"
"Jan 94","1.1210","1.1130","1.1270","1.1047","0.72%"
"Feb 94","1.1332","1.1212","1.1363","1.1010","1.09%"
"Mar 94","1.1517","1.1330","1.1595","1.1225","1.63%"
"Apr 94","1.1679","1.1510","1.1742","1.1237","1.41%"
"May 94","1.1708","1.1668","1.1798","1.1469","0.25%"
"Jun 94","1.2052","1.1700","1.2185","1.1521","2.94%"
"Jul 94","1.2086","1.2063","1.2573","1.1912","0.28%"
"Aug 94","1.2069","1.2065","1.2452","1.1980","-0.14%"
"Sep 94","1.2324","1.2074","1.2435","1.2069","2.11%"
"Oct 94","1.2679","1.2324","1.2809","1.2260","2.88%"
"Nov 94","1.2154","1.2685","1.2763","1.2110","-4.14%"
"Dec 94","1.2269","1.2152","1.2282","1.2025","0.95%"
"Jan 95","1.2394","1.2269","1.2569","1.2159","1.02%"
"Feb 95","1.2713","1.2395","1.2790","1.2280","2.57%"
"Mar 95","1.3319","1.2716","1.3356","1.2690","4.77%"
"Apr 95","1.3251","1.3275","1.3530","1.3008","-0.51%"
"May 95","1.3050","1.3208","1.3445","1.2655","-1.52%"
"Jun 95","1.3321","1.3072","1.3360","1.2911","2.08%"
"Jul 95","1.3405","1.3321","1.3500","1.3127","0.63%"
"Aug 95","1.2746","1.3405","1.3525","1.2575","-4.92%"
"Sep 95","1.2971","1.2780","1.3101","1.2506","1.77%"
"Oct 95","1.3013","1.2974","1.3216","1.2808","0.32%"
"Nov 95","1.2755","1.3046","1.3090","1.2720","-1.98%"
"Dec 95","1.2777","1.2763","1.2879","1.2602","0.17%"
"Jan 96","1.2340","1.2769","1.2971","1.2243","-3.42%"
"Feb 96","1.2551","1.2340","1.2732","1.2305","1.71%"
"Mar 96","1.2557","1.2552","1.2628","1.2458","0.05%"
"Apr 96","1.2269","1.2545","1.2613","1.2240","-2.29%"
"May 96","1.2392","1.2263","1.2405","1.2190","1.00%"
"Jun 96","1.2432","1.2391","1.2503","1.2295","0.32%"
"Jul 96","1.2767","1.2436","1.2837","1.2384","2.69%"
"Aug 96","1.2730","1.2772","1.2799","1.2580","-0.29%"
"Sep 96","1.2504","1.2723","1.2752","1.2475","-1.78%"
"Oct 96","1.2642","1.2512","1.2731","1.2413","1.10%"
"Nov 96","1.2540","1.2642","1.2862","1.2531","-0.81%"
"Dec 96","1.2538","1.2548","1.2594","1.2305","-0.02%"
"Jan 97","1.1796","1.2527","1.2559","1.1703","-5.92%"
"Feb 97","1.1468","1.1773","1.1811","1.1389","-2.78%"
"Mar 97","1.1661","1.1455","1.1682","1.1293","1.68%"
"Apr 97","1.1255","1.1625","1.1685","1.1228","-3.48%"
"May 97","1.1410","1.1279","1.1668","1.1240","1.38%"
"Jun 97","1.1267","1.1340","1.1435","1.1195","-1.25%"
"Jul 97","1.0733","1.1260","1.1295","1.0665","-4.74%"
"Aug 97","1.0878","1.0709","1.1000","1.0419","1.35%"
"Sep 97","1.1122","1.0850","1.1208","1.0673","2.24%"
"Oct 97","1.1430","1.1117","1.1515","1.1005","2.77%"
"Nov 97","1.1230","1.1405","1.1635","1.1165","-1.75%"
"Dec 97","1.0991","1.1228","1.1237","1.0980","-2.13%"
"Jan 98","1.0790","1.0980","1.1206","1.0715","-1.83%"
"Feb 98","1.0884","1.0770","1.1050","1.0733","0.87%"
"Mar 98","1.0768","1.0917","1.0983","1.0717","-1.07%"
"Apr 98","1.1020","1.0762","1.1093","1.0700","2.34%"
"May 98","1.1029","1.1028","1.1211","1.0992","0.08%"
"Jun 98","1.0952","1.1050","1.1181","1.0866","-0.70%"
"Jul 98","1.1095","1.0955","1.1170","1.0790","1.31%"
"Aug 98","1.1302","1.1100","1.1302","1.0877","1.87%"
"Sep 98","1.1795","1.1227","1.1831","1.1193","4.36%"
"Oct 98","1.1887","1.1782","1.2293","1.1770","0.78%"
"Nov 98","1.1601","1.1906","1.1942","1.1459","-2.41%"
"Dec 98","1.1723","1.1597","1.1955","1.1574","1.05%"
"Jan 99","1.1366","1.1742","1.1909","1.1338","-3.05%"
"Feb 99","1.1025","1.1389","1.1397","1.0923","-3.00%"
"Mar 99","1.0770","1.0987","1.1072","1.0683","-2.31%"
"Apr 99","1.0570","1.0776","1.0888","1.0542","-1.86%"
"May 99","1.0423","1.0589","1.0844","1.0393","-1.39%"
"Jun 99","1.0357","1.0431","1.0563","1.0259","-0.63%"
"Jul 99","1.0707","1.0362","1.0747","1.0107","3.38%"
"Aug 99","1.0564","1.0682","1.0829","1.0393","-1.34%"
"Sep 99","1.0684","1.0566","1.0732","1.0285","1.14%"
"Oct 99","1.0551","1.0678","1.0913","1.0433","-1.24%"
"Nov 99","1.0091","1.0551","1.0595","1.0037","-4.36%"
"Dec 99","1.0075","1.0096","1.0305","0.9991","-0.16%"
"Jan 00","0.9695","1.0052","1.0416","0.9670","-3.77%"
"Feb 00","0.9647","0.9702","1.0090","0.9391","-0.50%"
"Mar 00","0.9562","0.9645","0.9796","0.9478","-0.88%"
"Apr 00","0.9123","0.9562","0.9752","0.9029","-4.59%"
"May 00","0.9379","0.9120","0.9412","0.8845","2.81%"
"Jun 00","0.9526","0.9371","0.9703","0.9284","1.57%"
"Jul 00","0.9263","0.9526","0.9601","0.9191","-2.76%"
"Aug 00","0.8888","0.9265","0.9293","0.8839","-4.05%"
"Sep 00","0.8839","0.8887","0.9040","0.8439","-0.55%"
"Oct 00","0.8493","0.8842","0.8860","0.8228","-3.91%"
"Nov 00","0.8724","0.8486","0.8798","0.8372","2.72%"
"Dec 00","0.9424","0.8724","0.9427","0.8700","8.02%"
"Jan 01","0.9365","0.9425","0.9597","0.9112","-0.63%"
"Feb 01","0.9234","0.9374","0.9448","0.9016","-1.40%"
"Mar 01","0.8778","0.9239","0.9384","0.8752","-4.94%"
"Apr 01","0.8881","0.8743","0.9093","0.8695","1.17%"
"May 01","0.8459","0.8892","0.9010","0.8440","-4.75%"
"Jun 01","0.8500","0.8448","0.8675","0.8410","0.48%"
"Jul 01","0.8762","0.8506","0.8824","0.8346","3.08%"
"Aug 01","0.9124","0.8763","0.9242","0.8735","4.13%"
"Sep 01","0.9117","0.9102","0.9336","0.8823","-0.08%"
"Oct 01","0.8998","0.9103","0.9246","0.8867","-1.31%"
"Nov 01","0.8965","0.9008","0.9123","0.8737","-0.37%"
"Dec 01","0.8909","0.8962","0.9087","0.8742","-0.62%"
"Jan 02","0.8585","0.8896","0.9069","0.8571","-3.64%"
"Feb 02","0.8686","0.8588","0.8803","0.8562","1.18%"
"Mar 02","0.8718","0.8689","0.8871","0.8629","0.37%"
"Apr 02","0.9002","0.8711","0.9047","0.8711","3.26%"
"May 02","0.9339","0.9006","0.9421","0.8992","3.74%"
"Jun 02","0.9918","0.9327","0.9992","0.9300","6.20%"
"Jul 02","0.9775","0.9915","1.0214","0.9715","-1.44%"
"Aug 02","0.9820","0.9764","0.9920","0.9621","0.46%"
"Sep 02","0.9868","0.9815","0.9993","0.9603","0.49%"
"Oct 02","0.9907","0.9868","0.9928","0.9687","0.40%"
"Nov 02","0.9946","0.9909","1.0173","0.9873","0.39%"
"Dec 02","1.0501","0.9946","1.0507","0.9859","5.58%"
"Jan 03","1.0769","1.0493","1.0909","1.0334","2.55%"
"Feb 03","1.0798","1.0787","1.0941","1.0664","0.27%"
"Mar 03","1.0924","1.0778","1.1087","1.0501","1.17%"
"Apr 03","1.1183","1.0922","1.1189","1.0560","2.37%"
"May 03","1.1787","1.1183","1.1935","1.1152","5.40%"
"Jun 03","1.1511","1.1713","1.1934","1.1397","-2.34%"
"Jul 03","1.1231","1.1526","1.1613","1.1113","-2.43%"
"Aug 03","1.0980","1.1230","1.1430","1.0792","-2.23%"
"Sep 03","1.1660","1.0986","1.1739","1.0762","6.19%"
"Oct 03","1.1584","1.1661","1.1862","1.1532","-0.65%"
"Nov 03","1.1994","1.1581","1.2017","1.1377","3.54%"
"Dec 03","1.2588","1.1976","1.2649","1.1936","4.95%"
"Jan 04","1.2469","1.2549","1.2901","1.2334","-0.95%"
"Feb 04","1.2490","1.2473","1.2930","1.2373","0.17%"
"Mar 04","1.2315","1.2488","1.2543","1.2049","-1.40%"
"Apr 04","1.1982","1.2316","1.2392","1.1762","-2.70%"
"May 04","1.2186","1.1995","1.2298","1.1772","1.70%"
"Jun 04","1.2187","1.2186","1.2353","1.1952","0.01%"
"Jul 04","1.2020","1.2189","1.2464","1.1992","-1.37%"
"Aug 04","1.2188","1.2071","1.2389","1.1970","1.40%"
"Sep 04","1.2432","1.2180","1.2445","1.2023","2.00%"
"Oct 04","1.2785","1.2436","1.2846","1.2229","2.84%"
"Nov 04","1.3293","1.2803","1.3335","1.2656","3.97%"
"Dec 04","1.3558","1.3283","1.3668","1.3137","1.99%"
"Jan 05","1.3034","1.3547","1.3582","1.2921","-3.86%"
"Feb 05","1.3237","1.3036","1.3281","1.2732","1.56%"
"Mar 05","1.2963","1.3226","1.3483","1.2854","-2.07%"
"Apr 05","1.2873","1.2961","1.3126","1.2768","-0.69%"
"May 05","1.2310","1.2861","1.2991","1.2295","-4.37%"
"Jun 05","1.2102","1.2306","1.2357","1.1984","-1.69%"
"Jul 05","1.2130","1.2098","1.2256","1.1867","0.23%"
"Aug 05","1.2344","1.2123","1.2487","1.2117","1.76%"
"Sep 05","1.2030","1.2339","1.2590","1.1977","-2.54%"
"Oct 05","1.1988","1.2022","1.2207","1.1874","-0.35%"
"Nov 05","1.1789","1.1995","1.2087","1.1641","-1.66%"
"Dec 05","1.1843","1.1790","1.2064","1.1662","0.46%"
"Jan 06","1.2155","1.1845","1.2325","1.1799","2.63%"
"Feb 06","1.1921","1.2155","1.2167","1.1825","-1.93%"
"Mar 06","1.2119","1.1921","1.2208","1.1860","1.66%"
"Apr 06","1.2637","1.2122","1.2642","1.2032","4.27%"
"May 06","1.2812","1.2627","1.2973","1.2555","1.38%"
"Jun 06","1.2789","1.2815","1.2982","1.2479","-0.18%"
"Jul 06","1.2763","1.2788","1.2862","1.2458","-0.20%"
"Aug 06","1.2807","1.2761","1.2940","1.2694","0.34%"
"Sep 06","1.2672","1.2804","1.2875","1.2629","-1.05%"
"Oct 06","1.2763","1.2683","1.2785","1.2483","0.72%"
"Nov 06","1.3241","1.2762","1.3275","1.2681","3.75%"
"Dec 06","1.3199","1.3244","1.3370","1.3054","-0.32%"
"Jan 07","1.3034","1.3198","1.3299","1.2866","-1.25%"
"Feb 07","1.3235","1.3032","1.3261","1.2912","1.54%"
"Mar 07","1.3358","1.3232","1.3414","1.3072","0.93%"
"Apr 07","1.3647","1.3375","1.3683","1.3319","2.16%"
"May 07","1.3453","1.3641","1.3674","1.3407","-1.42%"
"Jun 07","1.3542","1.3453","1.3554","1.3262","0.66%"
"Jul 07","1.3673","1.3542","1.3853","1.3528","0.97%"
"Aug 07","1.3630","1.3677","1.3841","1.3360","-0.31%"
"Sep 07","1.4272","1.3628","1.4279","1.3551","4.71%"
"Oct 07","1.4481","1.4277","1.4505","1.4014","1.46%"
"Nov 07","1.4632","1.4480","1.4968","1.4404","1.04%"
"Dec 07","1.4590","1.4638","1.4771","1.4310","-0.29%"
"Jan 08","1.4866","1.4586","1.4923","1.4365","1.89%"
"Feb 08","1.5181","1.4860","1.5240","1.4440","2.12%"
"Mar 08","1.5774","1.5196","1.5905","1.5147","3.91%"
"Apr 08","1.5617","1.5764","1.6019","1.5510","-1.00%"
"May 08","1.5554","1.5615","1.5820","1.5286","-0.40%"
"Jun 08","1.5756","1.5559","1.5846","1.5302","1.30%"
"Jul 08","1.5601","1.5755","1.6039","1.5519","-0.98%"
