Date	Price	Open	High	Low	Change %
"Jan 05, 1975"	1.3273	1.3273	1.3273	1.3273	0.68%
"Jan 12, 1975"	1.3268	1.3268	1.3268	1.3268	-0.04%
"Jan 19, 1975"	1.3543	1.3543	1.3543	1.3543	2.07%
"Jan 26, 1975"	1.3472	1.3472	1.3472	1.3472	-0.52%
"Feb 02, 1975"	1.3374	1.3374	1.3374	1.3374	-0.73%
"Feb 09, 1975"	1.3546	1.3546	1.3546	1.3546	1.29%
"Feb 16, 1975"	1.3641	1.3641	1.3641	1.3641	0.70%
"Feb 23, 1975"	1.3847	1.3847	1.3847	1.3847	1.51%
"Mar 02, 1975"	1.3615	1.3615	1.3615	1.3615	-1.68%
"Mar 09, 1975"	1.3682	1.3682	1.3682	1.3682	0.49%
"Mar 16, 1975"	1.3686	1.3686	1.3686	1.3686	0.03%
"Mar 23, 1975"	1.3561	1.3561	1.3561	1.3561	-0.91%
"Mar 30, 1975"	1.3455	1.3455	1.3455	1.3455	-0.78%
"Apr 06, 1975"	1.3425	1.3425	1.3425	1.3425	-0.22%
"Apr 13, 1975"	1.3459	1.3459	1.3459	1.3459	0.25%
"Apr 20, 1975"	1.3481	1.3481	1.3481	1.3481	0.16%
"Apr 27, 1975"	1.3504	1.3504	1.3504	1.3504	0.17%
"May 04, 1975"	1.3648	1.3648	1.3648	1.3648	1.07%
"May 11, 1975"	1.3643	1.3643	1.3643	1.3643	-0.04%
"May 18, 1975"	1.3776	1.3776	1.3776	1.3776	0.97%
"May 25, 1975"	1.3708	1.3708	1.3708	1.3708	-0.49%
"Jun 01, 1975"	1.3731	1.3731	1.3731	1.3731	0.17%
"Jun 08, 1975"	1.3757	1.3757	1.3757	1.3757	0.19%
"Jun 15, 1975"	1.3748	1.3748	1.3748	1.3748	-0.07%
"Jun 22, 1975"	1.3663	1.3663	1.3663	1.3663	-0.62%
"Jun 29, 1975"	1.3425	1.3425	1.3425	1.3425	-1.74%
"Jul 06, 1975"	1.3243	1.3243	1.3243	1.3243	-1.36%
"Jul 13, 1975"	1.2968	1.2968	1.2968	1.2968	-2.08%
"Jul 20, 1975"	1.2816	1.2816	1.2816	1.2816	-1.17%
"Jul 27, 1975"	1.2636	1.2636	1.2636	1.2636	-1.40%
"Aug 03, 1975"	1.2596	1.2596	1.2596	1.2596	-0.32%
"Aug 10, 1975"	1.2615	1.2615	1.2615	1.2615	0.15%
"Aug 17, 1975"	1.2645	1.2645	1.2645	1.2645	0.24%
"Aug 24, 1975"	1.2582	1.2582	1.2582	1.2582	-0.50%
"Aug 31, 1975"	1.2563	1.2563	1.2563	1.2563	-0.15%
"Sep 07, 1975"	1.2509	1.2509	1.2509	1.2509	-0.43%
"Sep 14, 1975"	1.2299	1.2299	1.2299	1.2299	-1.68%
"Sep 21, 1975"	1.2192	1.2192	1.2192	1.2192	-0.87%
"Sep 28, 1975"	1.229	1.229	1.229	1.229	0.80%
"Oct 05, 1975"	1.2517	1.2517	1.2517	1.2517	1.85%
"Oct 12, 1975"	1.2566	1.2566	1.2566	1.2566	0.39%
"Oct 19, 1975"	1.261	1.261	1.261	1.261	0.35%
"Oct 26, 1975"	1.2636	1.2636	1.2636	1.2636	0.21%
"Nov 02, 1975"	1.2598	1.2598	1.2598	1.2598	-0.30%
"Nov 09, 1975"	1.2486	1.2486	1.2486	1.2486	-0.89%
"Nov 16, 1975"	1.2435	1.2435	1.2435	1.2435	-0.41%
"Nov 23, 1975"	1.2346	1.2346	1.2346	1.2346	-0.72%
"Nov 30, 1975"	1.2376	1.2376	1.2376	1.2376	0.24%
